City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Porto Seguro,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
255,Elban,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
256,Kozan,TR,37.4552,35.8157,81.5,69,6,0.83,clear sky
257,Airai,TL,-8.9266,125.4092,54.37,63,81,4.12,broken clouds
258,Padang,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
259,Hallein,AT,47.6833,13.1,62.35,90,75,12.66,broken clouds
260,Vestmannaeyjar,IS,66.0449,-17.3389,55.31,83,73,5.68,broken clouds
261,Aflu,MR,20.5022,-10.0711,96.73,14,9,13.35,clear sky
262,Koslan,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
263,Bubaque,GW,11.2833,-15.8333,80.38,77,100,13.78,overcast clouds
264,Changping,CN,40.2186,116.2197,71.96,85,6,5.99,clear sky
265,Prince Rupert,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
266,Rocha,UY,-33.6971,-53.4616,59.05,85,94,9.15,overcast clouds
267,Nanning,CN,40.2186,116.2197,71.96,85,6,5.99,clear sky
268,Iqaluit,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
269,Mehamn,NO,70.6345,29.7185,53.38,82,0,4.61,clear sky
270,Kuche,CN,40.2186,116.2197,71.96,85,6,5.99,clear sky
271,Lasa,CN,40.2186,116.2197,71.96,85,6,5.99,clear sky
272,Winnemucca,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
273,Wamba,CD,-5.35,21.4167,77.32,29,0,2.44,clear sky
274,Tayu,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
275,Petatlan,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
276,Bowen,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
277,Cayenne,GF,4.9333,-52.3333,82.44,78,0,6.91,clear sky
278,Alyangula,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
279,Hualmay,PE,-7.8447,-79.1469,72.82,62,0,9.78,clear sky
280,Juneau,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
281,Coihaique,CL,-53.15,-70.9167,44.11,73,80,11.07,broken clouds
282,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,95,20,16.11,few clouds
283,Maloyaroslavets,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
284,Hurricane,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
285,Dubbo,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
286,Tshane,BW,-24.0196,21.8684,61.34,30,2,9.48,clear sky
287,Murgab,TM,37.4966,61.9714,84.18,18,0,7.23,clear sky
288,Richards Bay,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
289,Kashan,IR,36.6412,52.9124,80.02,54,43,2.28,scattered clouds
290,Pierre,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
291,Cidreira,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
292,Codrington,AU,-38.2667,141.9667,51.31,81,100,11.34,overcast clouds
293,Upington,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
294,Bassar,TG,9.25,0.7833,70.0,97,98,3.0,overcast clouds
295,Palekh,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
296,Fort Nelson,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
297,Madang,PG,-2.5744,150.7967,82.26,71,100,2.59,light rain
298,Pathein,MM,16.7833,94.7333,77.25,95,100,6.89,overcast clouds
299,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,12.66,broken clouds
300,Bani Walid,IL,31.61,34.7642,90.39,35,0,4.29,clear sky
301,Pitkyaranta,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
302,Hami,CN,40.2186,116.2197,71.96,85,6,5.99,clear sky
303,Bulgan,MN,45.7625,106.2708,63.88,45,47,8.39,scattered clouds
304,La Ronge,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
305,Micheweni,TZ,-8.7833,36.35,68.32,67,15,2.55,few clouds
306,Hovd,MN,45.7625,106.2708,63.88,45,47,8.39,scattered clouds
